Season,year,Total_Crimes,Total_Arrests,Arrest_Rate
Autumn,2001,42277,11730,27.75
Spring,2001,120550,36073,29.92
Summer,2001,101714,28174,27.70
Winter,2001,70567,22994,32.58
Autumn,2002,218,95,43.58
Spring,2002,190,108,56.84
Summer,2002,262,148,56.49
Winter,2002,190,102,53.68
Autumn,2003,224,106,47.32
Spring,2003,255,125,49.02
Summer,2003,236,119,50.42
Winter,2003,176,83,47.16
Autumn,2004,161,64,39.75
Spring,2004,173,89,51.45
Summer,2004,208,118,56.73
Winter,2004,146,66,45.21
Autumn,2005,168,77,45.83
Spring,2005,179,80,44.69
Summer,2005,231,110,47.62
Winter,2005,130,56,43.08
Autumn,2006,197,101,51.27
Spring,2006,190,73,38.42
Summer,2006,205,98,47.80
Winter,2006,140,55,39.29
Autumn,2007,187,82,43.85
Spring,2007,180,78,43.33
Summer,2007,197,82,41.62
Winter,2007,143,64,44.76
Autumn,2008,214,82,38.32
Spring,2008,180,83,46.11
Summer,2008,231,92,39.83
Winter,2008,159,59,37.11
Autumn,2009,170,75,44.12
Spring,2009,172,72,41.86
Summer,2009,210,89,42.38
Winter,2009,149,52,34.90
Autumn,2010,163,58,35.58
Spring,2010,189,77,40.74
Summer,2010,208,85,40.87
Winter,2010,103,39,37.86
Autumn,2011,171,65,38.01
Spring,2011,135,43,31.85
Summer,2011,193,76,39.38
Winter,2011,127,57,44.88
Autumn,2012,170,52,30.59
Spring,2012,191,86,45.03
Summer,2012,201,91,45.27
Winter,2012,139,49,35.25
Autumn,2013,152,53,34.87
Spring,2013,131,50,38.17
Summer,2013,207,80,38.65
Winter,2013,138,49,35.51
Autumn,2014,166,64,38.55
Spring,2014,142,61,42.96
Summer,2014,169,55,32.54
Winter,2014,110,46,41.82
Autumn,2015,178,60,33.71
Spring,2015,150,66,44.00
Summer,2015,205,79,38.54
Winter,2015,123,46,37.40
Autumn,2016,284,70,24.65
Spring,2016,199,72,36.18
Summer,2016,285,91,31.93
Winter,2016,207,82,39.61
Autumn,2017,217,63,29.03
Spring,2017,199,56,28.14
Summer,2017,279,93,33.33
Winter,2017,194,45,23.20
Autumn,2018,218,68,31.19
Spring,2018,178,57,32.02
Summer,2018,237,72,30.38
Winter,2018,187,71,37.97
Autumn,2019,190,54,28.42
Spring,2019,203,73,35.96
Summer,2019,186,53,28.49
Winter,2019,119,35,29.41
Autumn,2020,252,101,40.08
Spring,2020,211,78,36.97
Summer,2020,315,128,40.63
Winter,2020,171,73,42.69
Autumn,2021,341,100,29.33
Spring,2021,212,85,40.09
Summer,2021,359,112,31.20
Winter,2021,221,74,33.48
Autumn,2022,767,185,24.12
Spring,2022,276,116,42.03
Summer,2022,393,118,30.03
Winter,2022,1909,179,9.38
Autumn,2023,62950,7332,11.65
Spring,2023,1126,248,22.02
Summer,2023,2621,525,20.03
Winter,2023,21626,2628,12.15
Spring,2024,60973,7688,12.61
Winter,2024,38839,5599,14.42
