year,Time_of_Day,Crime_Count
2001,Night,104709
2001,Afternoon,86233
2001,Evening,77110
2001,Morning,67056
2002,Night,407
2002,Evening,163
2002,Morning,148
2002,Afternoon,142
2003,Night,371
2003,Evening,179
2003,Afternoon,173
2003,Morning,168
2004,Night,273
2004,Morning,159
2004,Evening,129
2004,Afternoon,127
2005,Night,311
2005,Evening,139
2005,Morning,130
2005,Afternoon,128
2006,Night,324
2006,Afternoon,143
2006,Evening,138
2006,Morning,127
2007,Night,319
2007,Afternoon,139
2007,Morning,135
2007,Evening,114
2008,Night,332
2008,Afternoon,162
2008,Evening,149
2008,Morning,141
2009,Night,299
2009,Afternoon,141
2009,Evening,139
2009,Morning,122
2010,Night,275
2010,Afternoon,140
2010,Evening,139
2010,Morning,109
2011,Night,263
2011,Afternoon,123
2011,Evening,122
2011,Morning,118
2012,Night,266
2012,Afternoon,151
2012,Evening,146
2012,Morning,138
2013,Night,240
2013,Afternoon,138
2013,Morning,128
2013,Evening,122
2014,Night,243
2014,Afternoon,124
2014,Evening,115
2014,Morning,105
2015,Night,272
2015,Evening,151
2015,Afternoon,132
2015,Morning,101
2016,Night,410
2016,Evening,206
2016,Afternoon,191
2016,Morning,168
2017,Night,346
2017,Evening,186
2017,Afternoon,185
2017,Morning,172
2018,Night,334
2018,Afternoon,179
2018,Evening,156
2018,Morning,151
2019,Night,280
2019,Evening,159
2019,Afternoon,153
2019,Morning,106
2020,Night,404
2020,Afternoon,206
2020,Evening,203
2020,Morning,136
2021,Night,447
2021,Afternoon,247
2021,Evening,240
2021,Morning,199
2022,Night,1148
2022,Afternoon,933
2022,Morning,715
2022,Evening,549
2023,Night,27232
2023,Afternoon,22879
2023,Morning,19952
2023,Evening,18260
2024,Night,29599
2024,Afternoon,26324
2024,Morning,22891
2024,Evening,20998
