year,Location_Description,Total_Crime_Count
2001,STREET,104401
2001,RESIDENCE,64919
2001,SIDEWALK,20014
2002,STREET,352
2002,AUTO,100
2002,ALLEY,61
2003,STREET,349
2003,AUTO,105
2003,APARTMENT,61
2004,STREET,305
2004,APARTMENT,60
2004,AUTO,51
2005,STREET,320
2005,APARTMENT,55
2005,AUTO,54
2006,STREET,364
2006,APARTMENT,54
2006,ALLEY,47
2007,STREET,322
2007,APARTMENT,81
2007,AUTO,52
2008,STREET,371
2008,AUTO,58
2008,APARTMENT,52
2009,STREET,334
2009,AUTO,55
2009,APARTMENT,46
2010,STREET,294
2010,AUTO,61
2010,APARTMENT,46
2011,STREET,288
2011,AUTO,52
2011,APARTMENT,41
2012,STREET,340
2012,APARTMENT,56
2012,AUTO,56
2013,STREET,301
2013,APARTMENT,45
2013,AUTO,31
2014,STREET,267
2014,APARTMENT,50
2014,ALLEY,37
2015,STREET,336
2015,AUTO,54
2015,HOUSE,41
2016,STREET,493
2016,AUTO,87
2016,APARTMENT,70
2017,STREET,439
2017,AUTO,82
2017,APARTMENT,72
2018,STREET,387
2018,APARTMENT,77
2018,AUTO,49
2019,STREET,357
2019,APARTMENT,65
2019,ALLEY,41
2020,STREET,459
2020,APARTMENT,84
2020,AUTO,83
2021,STREET,540
2021,APARTMENT,112
2021,AUTO,90
2022,STREET,887
2022,APARTMENT,683
2022,RESIDENCE,551
2023,STREET,25410
2023,APARTMENT,16674
2023,RESIDENCE,10666
2024,STREET,27001
2024,APARTMENT,19691
2024,RESIDENCE,11853
