year,Ward,Crime_Count
2001,28,4669
2001,42,4128
2001,16,4050
2001,27,3919
2001,17,3436
2001,34,2801
2001,21,2585
2001,37,2273
2001,24,2211
2001,2,1985
2002,27,37
2002,28,37
2002,24,33
2002,20,31
2002,29,29
2002,37,29
2002,3,28
2002,16,26
2002,8,25
2002,15,24
2003,28,43
2003,9,40
2003,16,36
2003,29,36
2003,3,34
2003,8,33
2003,37,33
2003,21,32
2003,17,31
2003,6,31
2003,24,31
2004,17,30
2004,3,29
2004,6,29
2004,20,29
2004,37,28
2004,24,25
2004,29,25
2004,34,23
2004,27,22
2004,21,22
2005,24,35
2005,6,34
2005,28,31
2005,17,29
2005,8,28
2005,9,27
2005,27,26
2005,3,25
2005,16,24
2005,15,22
2005,34,22
2006,9,40
2006,24,35
2006,28,33
2006,21,31
2006,27,29
2006,18,28
2006,49,28
2006,20,28
2006,17,26
2006,8,25
2007,9,38
2007,17,32
2007,6,31
2007,8,30
2007,20,30
2007,37,28
2007,34,24
2007,27,24
2007,28,24
2007,3,24
2008,9,46
2008,6,40
2008,20,38
2008,27,35
2008,29,34
2008,17,33
2008,7,32
2008,28,31
2008,24,30
2008,3,26
2009,24,37
2009,28,35
2009,17,30
2009,29,28
2009,16,28
2009,20,26
2009,7,25
2009,37,24
2009,34,24
2009,27,22
2009,49,22
2009,3,22
2010,28,33
2010,34,32
2010,17,29
2010,6,28
2010,20,28
2010,18,28
2010,24,27
2010,9,26
2010,16,26
2010,27,25
2011,6,32
2011,28,32
2011,24,31
2011,20,30
2011,17,27
2011,34,26
2011,16,26
2011,15,26
2011,3,25
2011,9,21
2011,27,21
2012,20,42
2012,16,36
2012,34,32
2012,24,32
2012,28,30
2012,7,26
2012,9,25
2012,3,25
2012,6,24
2012,15,23
2013,16,33
2013,24,30
2013,17,29
2013,21,29
2013,29,29
2013,34,28
2013,8,25
2013,28,24
2013,7,23
2013,5,21
2014,28,37
2014,17,34
2014,8,31
2014,7,28
2014,24,25
2014,15,25
2014,27,25
2014,29,24
2014,34,22
2014,16,22
2015,28,39
2015,37,34
2015,24,33
2015,17,29
2015,34,27
2015,7,26
2015,8,24
2015,16,23
2015,6,22
2015,18,22
2015,20,22
2015,49,22
2016,28,71
2016,24,55
2016,17,51
2016,20,51
2016,16,51
2016,21,43
2016,29,40
2016,27,37
2016,37,35
2016,15,34
2016,6,34
2017,24,61
2017,28,50
2017,29,45
2017,21,43
2017,27,36
2017,6,36
2017,7,36
2017,16,35
2017,34,35
2017,20,34
2018,28,65
2018,24,47
2018,16,44
2018,9,40
2018,37,35
2018,17,33
2018,6,33
2018,34,33
2018,7,32
2018,20,31
2019,28,54
2019,24,36
2019,37,35
2019,6,35
2019,9,31
2019,21,30
2019,29,29
2019,16,28
2019,17,26
2019,20,26
2019,7,26
2020,28,65
2020,16,55
2020,24,55
2020,8,52
2020,27,51
2020,29,47
2020,6,46
2020,37,42
2020,9,41
2020,20,38
2020,17,38
2021,28,89
2021,16,75
2021,24,68
2021,6,53
2021,17,50
2021,21,49
2021,20,48
2021,34,48
2021,27,48
2021,9,43
2022,27,154
2022,28,129
2022,16,117
2022,21,117
2022,4,115
2022,9,114
2022,6,114
2022,20,113
2022,17,107
2022,24,105
2023,27,4123
2023,28,3767
2023,6,3306
2023,24,2833
2023,8,2803
2023,42,2802
2023,17,2753
2023,20,2746
2023,9,2720
2023,16,2648
2024,27,4527
2024,28,4410
2024,6,3835
2024,24,3447
2024,20,3297
2024,42,3195
2024,17,3153
2024,21,3136
2024,9,3123
2024,8,3067
